,SiO2,TiO2,Al2O3,Fe2O3,Cr2O3,FeO,MnO,MgO,NiO,CoO,CaO,Na2O,K2O,P2O5,H2O,CO2,CITATION,ROCK TYPE,Press,Temp,SaturationP_bars_VESIcal,XH2O_fl_VESIcal,XCO2_fl_VESIcal,FluidMass_grams_VESIcal,FluidSystem_wt_VESIcal,Model,Warnings
Kil3-6_1a,48.2492073388727,2.22211385404349,11.6921940392032,0.0,0.0,0.0,0.0799988314202061,14.1838165358568,0.0,0.0,9.89273186356637,1.81052154253552,0.352013654046987,0.210479390362178,0.42469471877762877,0.0028730203708835014,Tucker et al. (2019),Basalt,62.5,1299.0947123707217,60.0,0.493184396540342,0.506815603459658,0.000609818058677088,0.0006098180586770875,MagmaSat,
Kil3-6_3a,48.2956914301173,2.16535749123189,11.7555842002198,0.0,0.0,0.0,0.0840449344025224,13.403979652898,0.0,0.0,10.0525777926129,2.26819812005229,0.373327784000187,0.204452497579727,0.42598378342224535,0.006786430337147899,Tucker et al. (2019),Basalt,128.0,1283.4199910232498,110.0,0.266594556591304,0.733405443408696,0.000699690463191769,0.0006996904631917684,MagmaSat,
Kil3-6_4a,49.1240791972564,2.36098425857992,12.1728325512416,0.0,0.0,0.0,0.0988087330759878,11.997699453588,0.0,0.0,10.3081877392399,2.00186324677907,0.396511854205657,0.238996316060337,0.4377576296337298,0.004983721604329198,Tucker et al. (2019),Basalt,100.0,1255.1537590171188,90.0,0.337738175107283,0.662261824892717,0.000807422710542304,0.0008074227105423037,MagmaSat,
10*,47.96,0.78,18.77,0.0,0.0,10.92,0.15,6.86,0.0,0.0,12.23,1.95,0.21,0.17,4.5,0.0479,Roggensack (2001),Basalt,2000.0,1200.0,2540.0,0.817547776604498,0.182452223395502,0.00153194260781288,0.0015319426078128798,MagmaSat,
19*,49.64,0.71,18.05,0.0,0.0,10.54,0.19,6.43,0.0,0.0,12.09,1.99,0.2,0.17,5.1,0.1113,Roggensack (2001),Basalt,2000.0,1200.0,3650.0,0.725723551173834,0.274276448826166,0.000669419389523797,0.0006694193895237968,MagmaSat,
25,50.32,0.72,18.03,0.0,0.0,10.11,0.14,5.65,0.0,0.0,12.78,1.8,0.24,0.23,5.2,0.0437,Roggensack (2001),Basalt,2000.0,1200.0,2850.0,0.855214150656391,0.144785849343609,0.000849378232674168,0.0008493782326741675,MagmaSat,
SAT-M12-1,62.6,0.63,17.3,2.01,0.0,2.01,0.06,2.65,0.0,0.0,5.64,4.05,1.61,0.24,2.62,0.0,Moore et al. (1998),Andesite,703.0,1100.0,580.0,1.0,0.0,0.00344178052692815,0.0034417805269281528,MagmaSat,
SAT-M12-2,62.6,0.63,17.3,2.01,0.0,2.01,0.06,2.65,0.0,0.0,5.64,4.05,1.61,0.24,5.03,0.0,Moore et al. (1998),Andesite,1865.0,1100.0,1650.0,1.0,0.0,0.0152803231983844,0.015280323198384403,MagmaSat,
SAT-M12-4,62.6,0.63,17.3,2.01,0.0,2.01,0.06,2.65,0.0,0.0,5.64,4.05,1.61,0.24,6.76,0.0,Moore et al. (1998),Andesite,2985.0,1050.0,2610.0,1.0,0.0,0.00815300762027633,0.00815300762027633,MagmaSat,
samp. P1968a,76.9748797434527,0.085515766969535,3.11063602351684,0.0,0.0,4.78888295029396,0.0,12.5494388027793,0.0,0.0,1.20791020844468,0.138963121325494,1.13308391234634,0.0,4.34,0.007,Myers et al. (2019),Rhyolite,300.0,900.0,1090.0,0.972915709108908,0.0270842908910915,0.00885469016230864,0.00885469016230863,MagmaSat,
