Label,SiO2,TiO2,Al2O3,Fe2O3,Cr2O3,FeO,MnO,MgO,NiO,CoO,CaO,Na2O,K2O,P2O5,H2O,CO2,Press,Temp
BT-ex,77.43804956,0.079936051,12.49000799,0.206834532,0,0.472621902,0,0.029976019,0,0,0.429656275,3.976818545,4.876099121,0,5.5,0.05,500,900
TVZMa-ex,78.37783778,0.130013001,11.94119412,0,0,0.99009901,0.040004,0.050005001,0,0,0.530053005,3.800380038,4.140414041,0,4.06,0.005,600,800
TVZOh-ex,77.97017316,0.080072065,12.16094485,0,0,0.95085577,0.050045041,0.060054049,0,0,0.550495446,4.053648283,4.12371134,0,4.63,0.005,50,900
Oh48-FTIR1-MI1-a,78.26616496,0.02979854,12.01941105,0,0,0.982751845,0.033598354,0.051497477,0,0,0.477176618,4.04980156,4.0897996,0,4.214912406,0.004565932,250,950
Oh48-FTIR1-MI1-b,78.26616496,0.02979854,12.01941105,0,0,0.982751845,0.033598354,0.051497477,0,0,0.477176618,4.04980156,4.0897996,0,4.005815793,0.004447963,500,1025
Oh48-FTIR1-MI1-IRc,78.26616496,0.02979854,12.01941105,0,0,0.982751845,0.033598354,0.051497477,0,0,0.477176618,4.04980156,4.0897996,0,3.885649341,0.004654367,5000,925
Oh50-4.1,77.90906509,0.098398819,12.06985516,0,0,1.055587333,0.025699692,0.099898801,0,0,0.521593741,4.039951521,4.179949841,0,4.641842879,0.004565932,1000,862
Oh50-4.2,77.90906509,0.098398819,12.06985516,0,0,1.055587333,0.025699692,0.099898801,0,0,0.521593741,4.039951521,4.179949841,0,4.402133476,0.004447963,100,770
Oh49-4.1,77.91353318,0.009899178,12.10899495,0,0,1.001916841,0.067194423,0.054595469,0,0,0.534555632,4.009667198,4.29964313,0,4.283934433,0.004565932,1000,855
Oh49-4.2,77.91353318,0.009899178,12.10899495,0,0,1.001916841,0.067194423,0.054595469,0,0,0.534555632,4.009667198,4.29964313,0,4.230532593,0.004447963,500,1000
Ma55-5a.1,77.67207745,0.009599021,12.26874859,0,0,1.027095236,0.062793595,0.034196512,0,0,0.606338154,3.969595101,4.349556345,0,4.459767403,0.004654367,5000,1010
Ma57-3b.2,77.8996884,0.049799801,12.06995172,0,0,1.084395662,0.074799701,0.035499858,0,0,0.475898096,4.0999836,4.20998316,0,3.712506046,0.004447963,1000,1012
Ma57-3c.1,77.64262395,0.158984896,12.27883351,0,0,0.976807203,0.059694329,0.057694519,0,0,0.559746824,4.079612437,4.179602938,0.006399392,4.443973024,0.004654367,100,885
Ma57-3c.2,77.64262395,0.158984896,12.27883351,0,0,0.976807203,0.059694329,0.057694519,0,0,0.559746824,4.079612437,4.179602938,0.006399392,4.283171078,0.004644523,1000,885
