,SiO2,TiO2,Al2O3,Fe2O3,Cr2O3,FeO,MnO,MgO,NiO,CoO,CaO,Na2O,K2O,P2O5,CO2,H2O,Press,Temp
BT-ex,73.1402378097522,0.07549960031974419,11.79681254996003,0.19535521582733809,0.0,0.4463913868904875,0.0,0.02831235011990407,0.0,0.0,0.405810351718625,3.756105115907274,4.6054756195043955,0.0,0.05,5.5,500,900
TVZMa-ex,75.19177867786779,0.12472797279727973,11.455784578457846,0.0,0.0,0.9498514851485149,0.03837783778377838,0.047972297229722974,0.0,0.0,0.5085063506350636,3.6458945894589463,3.972106210621062,0.0,0.005,4.06,600,800
TVZOh-ex,74.35625563006705,0.07636072465218695,11.597285056550895,0.0,0.0,0.9067836052447201,0.04772545290761685,0.057270543489140215,0.0,0.0,0.5249799819837854,3.865761685516964,3.9325773195876286,0.0,0.005,4.63,50,900
Oh48-FTIR1-MI1-a,74.96374134607406,0.028541197037345176,11.51225464392245,0.0,0.0,0.9412848472584846,0.03218067853875161,0.04932455192695558,0.0,0.0,0.45704225591346037,3.8789210738673816,3.9172314054611332,0.0,0.004566,4.214912,250,950
Oh48-FTIR1-MI1-b,75.1274851204291,0.02860353975455203,11.537400934554208,0.0,0.0,0.9433409017038167,0.03225097099842108,0.04943229185769897,0.0,0.0,0.4580405762037661,3.8873938257025413,3.9257878387958995,0.0,0.004448,4.005816,500,1025
Oh48-FTIR1-MI1-IRc,75.22137399457428,0.028639286380967337,11.55181954024253,0.0,0.0,0.9445198206447886,0.03229127591947995,0.04949406874563147,0.0,0.0,0.4586130020468998,3.892252008151601,3.930694003293839,0.0,0.004654,3.885649,5000,925
Oh50-4.1,74.28909127900464,0.09382680762230851,11.509040325216095,0.0,0.0,1.0065404281108625,0.024505578820054157,0.0952570943238681,0.0,0.0,0.4973583623556516,3.852238849533805,3.985732275012699,0.0,0.004566,4.641843,1000,862
Oh50-4.2,74.4759390316316,0.09406279554245348,11.53798721745339,0.0,0.0,1.0090720220997347,0.02456721387643348,0.09549667962084454,0.0,0.0,0.4986092901925176,3.861927784466586,3.9957569651164175,0.0,0.004448,4.402133,100,770
Oh49-4.1,74.57221130646157,0.009474652103875379,11.589700704841498,0.0,0.0,0.9589496371801141,0.06431279003842681,0.05225414190622178,0.0,0.0,0.5116312136092703,3.8377126198525517,4.115252934006477,0.0,0.004566,4.283934,1000,855
Oh49-4.2,74.61390985028243,0.009479950045146252,11.596181317850617,0.0,0.0,0.9594858530541964,0.0643487518215988,0.052283360855049026,0.0,0.0,0.5119173024378976,3.839858553640047,4.117554060013019,0.0,0.004448,4.230533,500,1000
Ma55-5a.1,74.20446891137105,0.009170480195020108,11.721019999260076,0.0,0.0,0.9812413808671514,0.059990224609089864,0.03266983569475913,0.0,0.0,0.5792686656521036,3.7923756639822743,4.155373838368487,0.0,0.004654,4.459767,5000,1010
Ma57-3b.2,75.00419281722876,0.04794876511293955,11.621317166931334,0.0,0.0,1.0440891744673022,0.07201943033027869,0.03418034460862157,0.0,0.0,0.4582091830772677,3.9475890956436177,4.05350002259991,0.0,0.004448,3.712506,1000,1012
Ma57-3c.1,74.18859321814428,0.1519122514061164,11.73259400796924,0.0,0.0,0.9333526943310383,0.05703875099965503,0.055127905070018336,0.0,0.0,0.5348457757053078,3.8981256964588353,3.99366799294067,0.00611470697483739,0.004654,4.443973,100,885
Ma57-3c.2,74.31345109814566,0.1521679166079222,11.752339722926319,0.0,0.0,0.9349235077627622,0.05713474604712552,0.0552206842030007,0.0,0.0,0.5357459101705336,3.9046861620146074,4.000389254220848,0.006124997901199385,0.004645,4.283171,1000,885
