Label,SiO2,TiO2,Al2O3,Fe2O3,Cr2O3,FeO,MnO,MgO,NiO,CoO,CaO,Na2O,K2O,P2O5,H2O,CO2,Press,Temp
BT-ex,73.36930796,0.07573606,11.83375935,0.195967055,0,0.447789454,0,0.028401022,0,0,0.407081322,3.767868977,4.61989965,0,5.206854113,0.047335037,500,900
TVZMa-ex,75.31593869,0.124933929,11.47470088,0,0,0.951419922,0.038441209,0.048051511,0,0,0.509346019,3.651914853,3.978665129,0,3.901782711,0.004805151,600,800
TVZOh-ex,74.51336745,0.076522072,11.62178966,0,0,0.908699603,0.047826295,0.057391554,0,0,0.526089244,3.873929887,3.9408867,0,4.428714907,0.004782629,50,900
Oh48-FTIR1-MI1-a,75.09759353,0.028592159,11.53281045,0,0,0.942965567,0.032238139,0.049412624,0,0,0.457858332,3.885847116,3.924225853,0,4.044075363,0.004380868,250,950
Oh48-FTIR1-MI1-b,75.24864373,0.028649669,11.55600738,0,0,0.944862234,0.032302982,0.049512012,0,0,0.458779261,3.893663052,3.932118984,0,3.851184431,0.004276264,500,1025
Oh48-FTIR1-MI1-IRc,75.33552773,0.028682749,11.56935024,0,0,0.945953196,0.03234028,0.049569179,0,0,0.45930898,3.898158775,3.936659108,0,3.739969895,0.004479867,5000,925
Oh50-4.1,74.44986167,0.09402986,11.53394725,0,0,1.008718701,0.024558612,0.095463242,0,0,0.498434705,3.860575551,3.994357872,0,4.435689389,0.00436315,1000,862
Oh50-4.2,74.62087493,0.094245849,11.56044103,0,0,1.011035754,0.024615024,0.095682523,0,0,0.499579622,3.869443392,4.003533015,0,4.216288686,0.004260184,100,770
Oh49-4.1,74.7098662,0.009492142,11.61109445,0,0,0.960719789,0.064431507,0.052350599,0,0,0.512575648,3.844796759,4.122849392,0,4.107445692,0.004377826,1000,855
Oh49-4.2,74.74822318,0.009497015,11.61705573,0,0,0.961213034,0.064464587,0.052377477,0,0,0.51283881,3.846770726,4.124966115,0,4.058326418,0.004266907,500,1000
Ma55-5a.1,74.35298514,0.009188834,11.74447899,0,0,0.983205282,0.060110292,0.032735223,0,0,0.580428041,3.799965899,4.163690594,0,4.268756687,0.004455022,5000,1010
Ma57-3b.2,75.10797083,0.048015108,11.63739676,0,0,1.045533807,0.072119079,0.034227638,0,0,0.458843175,3.953051097,4.059108565,0,3.579445389,0.004288543,1000,1012
Ma57-3c.1,74.33600615,0.152214101,11.7559067,0,0,0.935207269,0.057152087,0.055237444,0,0,0.535908516,3.905871282,4.001603422,0.006126857,4.254310445,0.004455725,100,885
Ma57-3c.2,74.45062181,0.152448794,11.77403266,0,0,0.936649227,0.057240208,0.055322613,0,0,0.536734811,3.911893587,4.007773331,0.006136304,4.106693498,0.004453156,1000,885
