,SiO2,TiO2,Al2O3,Fe2O3,Cr2O3,FeO,MnO,MgO,NiO,CoO,CaO,Na2O,K2O,P2O5,H2O,CO2,Press,Temp,SaturationP_bars_VESIcal,Temperature_C_VESIcal,XH2O_fl_VESIcal,XCO2_fl_VESIcal,FluidMass_grams_VESIcal,FluidSystem_wt_VESIcal,Model,Warnings
BT-ex,77.5,0.08,12.5,0.207,0.0,0.473,0.0,0.03,0.0,0.0,0.43,3.98,4.88,0.0,5.5,0.05,500,900,2490.0,925.0,0.779065189666848,0.220934810333152,0.0,0.0,MagmaSat,
TVZMa-ex,78.37,0.13,11.94,0.0,0.0,0.99,0.04,0.05,0.0,0.0,0.53,3.8,4.14,0.0,4.06,0.005,600,800,1080.0,925.0,0.942302508735315,0.0576974912646846,0.0,0.0,MagmaSat,
TVZOh-ex,77.9,0.08,12.15,0.0,0.0,0.95,0.05,0.06,0.0,0.0,0.55,4.05,4.12,0.0,4.63,0.005,50,900,1320.0,925.0,0.953916568023418,0.0460834319765825,0.0,0.0,MagmaSat,
Oh48-FTIR1-MI1-a,78.27,0.0298,12.02,0.0,0.0,0.9828,0.0336,0.0515,0.0,0.0,0.4772,4.05,4.09,0.0,4.214912,0.004566,250,950,1130.0,925.0,0.949374231598784,0.0506257684012162,0.0,0.0,MagmaSat,
Oh48-FTIR1-MI1-b,78.27,0.0298,12.02,0.0,0.0,0.9828,0.0336,0.0515,0.0,0.0,0.4772,4.05,4.09,0.0,4.005816,0.004448,500,1025,1050.0,925.0,0.945118861038019,0.0548811389619812,0.0,0.0,MagmaSat,
Oh48-FTIR1-MI1-IRc,78.27,0.0298,12.02,0.0,0.0,0.9828,0.0336,0.0515,0.0,0.0,0.4772,4.05,4.09,0.0,3.885649,0.004654,5000,925,1000.0,925.0,0.939857425311945,0.0601425746880554,0.0,0.0,MagmaSat,
Oh50-4.1,77.91,0.0984,12.07,0.0,0.0,1.0556,0.0257,0.0999,0.0,0.0,0.5216,4.04,4.18,0.0,4.641843,0.004566,1000,862,1320.0,925.0,0.958194048682614,0.0418059513173857,0.0,0.0,MagmaSat,
Oh50-4.2,77.91,0.0984,12.07,0.0,0.0,1.0556,0.0257,0.0999,0.0,0.0,0.5216,4.04,4.18,0.0,4.402133,0.004448,100,770,1210.0,925.0,0.954522206565273,0.0454777934347268,0.0,0.0,MagmaSat,
Oh49-4.1,77.92,0.0099,12.11,0.0,0.0,1.002,0.0672,0.0546,0.0,0.0,0.5346,4.01,4.3,0.0,4.283934,0.004566,1000,855,1160.0,925.0,0.950482808035888,0.0495171919641118,0.0,0.0,MagmaSat,
Oh49-4.2,77.92,0.0099,12.11,0.0,0.0,1.002,0.0672,0.0546,0.0,0.0,0.5346,4.01,4.3,0.0,4.230533,0.004448,500,1000,1140.0,925.0,0.950507756331109,0.0494922436688907,0.0,0.0,MagmaSat,
Ma55-5a.1,77.68,0.0096,12.27,0.0,0.0,1.0272,0.0628,0.0342,0.0,0.0,0.6064,3.97,4.35,0.0,4.459767,0.004654,5000,1010,1240.0,925.0,0.953361572067207,0.0466384279327931,0.0,0.0,MagmaSat,
Ma57-3b.2,77.9,0.0498,12.07,0.0,0.0,1.0844,0.0748,0.0355,0.0,0.0,0.4759,4.1,4.21,0.0,3.712506,0.004448,1000,1012,930.0,925.0,0.936440510291358,0.0635594897086419,0.0,0.0,MagmaSat,
Ma57-3c.1,77.65,0.159,12.28,0.0,0.0,0.9769,0.0597,0.0577,0.0,0.0,0.5598,4.08,4.18,0.0064,4.443973,0.004654,100,885,1240.0,925.0,0.953448771677425,0.0465512283225748,0.0,0.0,MagmaSat,
Ma57-3c.2,77.65,0.159,12.28,0.0,0.0,0.9769,0.0597,0.0577,0.0,0.0,0.5598,4.08,4.18,0.0064,4.283171,0.004645,1000,885,1170.0,925.0,0.94984758319718,0.0501524168028198,0.0,0.0,MagmaSat,
