,SiO2,TiO2,Al2O3,Fe2O3,Cr2O3,FeO,MnO,MgO,NiO,CoO,CaO,Na2O,K2O,P2O5,H2O,CO2,Press,Temp
BT-ex,77.4380495603517,0.07993605115907274,12.490007993605113,0.20683453237410068,0.0,0.4726219024780175,0.0,0.029976019184652272,0.0,0.0,0.4296562749800159,3.9768185451638685,4.8760991207034365,0.0,5.5,0.05,500,900
TVZMa-ex,78.37783778377838,0.13001300130013002,11.941194119411941,0.0,0.0,0.9900990099009901,0.040004000400040006,0.05000500050005,0.0,0.0,0.5300530053005301,3.8003800380038006,4.14041404140414,0.0,4.06,0.005,600,800
TVZOh-ex,77.97017315584026,0.08007206485837252,12.160944850365327,0.0,0.0,0.9508557701931738,0.050045040536482836,0.06005404864377939,0.0,0.0,0.5504954459013112,4.053648283455109,4.123711340206185,0.0,4.63,0.005,50,900
Oh48-FTIR1-MI1-a,78.26616495791707,0.0297985398715463,12.019411048858608,0.0,0.0,0.9827518451595874,0.03359835368066965,0.05149747662364545,0.0,0.0,0.4771766183457012,4.049801559723575,4.089799599819609,0.0,4.214912,0.004566,250,950
Oh48-FTIR1-MI1-b,78.26616495791707,0.0297985398715463,12.019411048858608,0.0,0.0,0.9827518451595874,0.03359835368066965,0.05149747662364545,0.0,0.0,0.4771766183457012,4.049801559723575,4.089799599819609,0.0,4.005816,0.004448,500,1025
Oh48-FTIR1-MI1-IRc,78.26616495791707,0.0297985398715463,12.019411048858608,0.0,0.0,0.9827518451595874,0.03359835368066965,0.05149747662364545,0.0,0.0,0.4771766183457012,4.049801559723575,4.089799599819609,0.0,3.885649,0.004654,5000,925
Oh50-4.1,77.90906509121889,0.09839881921416942,12.069855161738058,0.0,0.0,1.0555873329520045,0.025699691603700753,0.09989880121438542,0.0,0.0,0.5215937408751095,4.039951520581752,4.179949840601912,0.0,4.641843,0.004566,1000,862
Oh50-4.2,77.90906509121889,0.09839881921416942,12.069855161738058,0.0,0.0,1.0555873329520045,0.025699691603700753,0.09989880121438542,0.0,0.0,0.5215937408751095,4.039951520581752,4.179949840601912,0.0,4.402133,0.004448,100,770
Oh49-4.1,77.91353317674633,0.009899178368195441,12.108994953418865,0.0,0.0,1.001916840902205,0.06719442286290238,0.054595468576108176,0.0,0.0,0.5345556318825537,4.009667197622597,4.299643129620241,0.0,4.283934,0.004566,1000,855
Oh49-4.2,77.91353317674633,0.009899178368195441,12.108994953418865,0.0,0.0,1.001916840902205,0.06719442286290238,0.054595468576108176,0.0,0.0,0.5345556318825537,4.009667197622597,4.299643129620241,0.0,4.230533,0.004448,500,1000
Ma55-5a.1,77.67207744810031,0.009599020899868213,12.26874858764406,0.0,0.0,1.0270952362858987,0.06279359505330455,0.03419651195578051,0.0,0.0,0.6063381535083423,3.969595101299668,4.349556345252784,0.0,4.459767,0.004654,5000,1010
Ma57-3b.2,77.89968840124641,0.0497998008007968,12.06995172019312,0.0,0.0,1.0843956624173505,0.0747997008011968,0.035499858000568,0.0,0.0,0.4758980964076144,4.0999836000656,4.2099831600673605,0.0,3.712506,0.004448,1000,1012
Ma57-3c.1,77.64262395072467,0.15898489643483865,12.27883351081647,0.0,0.0,0.9768072033156848,0.05969432903874132,0.05769451902069302,0.0,0.0,0.5597468240517149,4.079612436818501,4.179602937720916,0.006399392057754512,4.443973,0.004654,100,885
Ma57-3c.2,77.64262395072467,0.15898489643483865,12.27883351081647,0.0,0.0,0.9768072033156848,0.05969432903874132,0.05769451902069302,0.0,0.0,0.5597468240517149,4.079612436818501,4.179602937720916,0.006399392057754512,4.283171,0.004645,1000,885
