,SiO2,TiO2,Al2O3,Fe2O3,Cr2O3,FeO,MnO,MgO,NiO,CoO,CaO,Na2O,K2O,P2O5,H2O,CO2,Press,Temp
BT-ex,73.3693079617533,0.07573605983148728,11.833759348669886,0.1959670548139733,0.0,0.44778945375366846,0.0,0.028401022436807727,0.0,0.0,0.4070813215942441,3.7678689766164917,4.619899649720724,0.0,5.2068541134147495,0.04733503739467954,500,900
TVZMa-ex,75.31593868627169,0.12493392917207247,11.474700879342656,0.0,0.0,0.9514199221565519,0.038441208976022295,0.048051511220027876,0.0,0.0,0.5093460189322955,3.6519148527221184,3.9786651290183075,0.0,3.9017827110662626,0.004805151122002787,600,800
TVZOh-ex,74.5133674494237,0.07652207183509493,11.621789659955043,0.0,0.0,0.9086996030417523,0.04782629489693433,0.0573915538763212,0.0,0.0,0.5260892438662778,3.873929886651681,3.9408866995073892,0.0,4.428714907456119,0.004782629489693433,50,900
Oh48-FTIR1-MI1-a,75.0975937702406,0.02859215912039312,11.532810490843133,0.0,0.0,0.9429655699168578,0.03223813914245668,0.04941262398322972,0.0,0.0,0.4578583332970335,3.88584712877826,3.924225865852613,0.0,4.044074985988403,0.004380932837037416,250,950
Oh48-FTIR1-MI1-b,75.24864355354957,0.028649668811751336,11.556007352927889,0.0,0.0,0.94486223181843,0.03230298228439077,0.049512011537087036,0.0,0.0,0.4587792603009308,3.893663043207816,3.9321189744987572,0.0,3.8511846215038426,0.004276299559552683,500,1025
Oh48-FTIR1-MI1-IRc,75.33552824378235,0.028682748711699423,11.569350319282789,0.0,0.0,0.9459532024784629,0.03234028042661411,0.049569179820554365,0.0,0.0,0.45930898272560283,3.898158801422237,3.9366591352634446,0.0,3.7399695922438303,0.004479513842424467,5000,925
Oh50-4.1,74.44986153482016,0.09402985977443593,11.533947230461806,0.0,0.0,1.0087186989623431,0.024558611750030525,0.09546324178319258,0.0,0.0,0.49843470384497746,3.860575543584565,3.994357864401852,0.0,4.435689495781982,0.0043632148346552276,1000,862
Oh50-4.2,74.62087523917397,0.0942458493586795,11.560441074789242,0.0,0.0,1.0110357579575413,0.024615023663801455,0.09568252389158619,0.0,0.0,0.4995796242427563,3.869443408628711,4.003533031700003,0.0,4.216288247712112,0.004260218881579333,100,770
Oh49-4.1,74.70986645803131,0.009492141657270407,11.611094491873194,0.0,0.0,0.9607197919782775,0.06443150700692639,0.05235059944312769,0.0,0.0,0.5125756494926018,3.844796772288316,4.122849406693207,0.0,4.107445290747176,0.004377890788595623,1000,855
Oh49-4.2,74.74822286148112,0.009497014968283667,11.617055683425775,0.0,0.0,0.9612130301232558,0.06446458645138002,0.052377476491746275,0.0,0.0,0.5128388082873179,3.846770709375505,4.124966097335329,0.0,4.058326790385657,0.004266941674638963,500,1000
Ma55-5a.1,74.35298568826587,0.009188834482586925,11.744479073056414,0.0,0.0,0.9832052896368009,0.06011029224025613,0.03273522284421592,0.0,0.0,0.5804280448167408,3.799965926653135,4.1636906249222,0.0,4.268756332698255,0.0044546703835374535,5000,1010
Ma57-3b.2,75.10797084160093,0.048015108445593396,11.637396765829566,0.0,0.0,1.045533807196817,0.07211907854880295,0.03422763754655755,0.0,0.0,0.4588431748846968,3.953051096926364,4.059108565380487,0.0,3.579445345279441,0.004288578360763041,1000,1012
Ma57-3c.1,74.33600642676657,0.15221410202003716,11.7559067472079,0.0,0.0,0.9352072720966936,0.05715208736224037,0.0552374445695355,0.0,0.0,0.535908517678093,3.9058712971179346,4.001603436753178,0.006126856936655584,4.254310437712519,0.004455373778624232,100,885
Ma57-3c.2,74.45062152893753,0.15244879360078642,11.774032612689668,0.0,0.0,0.9366492230730078,0.05724020740859717,0.05532261252053696,0.0,0.0,0.5367348091680517,3.911893571642821,4.0077733160458315,0.006136303641792661,4.106693407143862,0.00445361412751983,1000,885
